id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
25205,9715842,STAR MONICA,Star Bulk Carriers Corp,Greece,Star Bulk Carriers Corp,Greece,Malta,Bulk,2015,,60935,BV,Augustea Technoservices Ltd,Malta,Star Bulk Carriers Corp,Greece,2020-01-01T00:00:00Z
40150,9715969,ORKIM GAS SUCCESS,Orkim Ship Management Sdn Bhd,Malaysia,Orkim Ship Management Sdn Bhd,Malaysia,Malaysia,LPG,2016,,3248,NK,,,Orkim Ship Management Sdn Bhd,Malaysia,2020-01-01T00:00:00Z
347,9717060,MEGHNA STAR,Meghna Group of Industries (MGI),Bangladesh,Mercantile Shipping Lines Ltd,Bangladesh,Bangladesh,Bulk,2014,,58045,LR,Mercantile Shipping Lines Ltd,Bangladesh,Mercantile Shipping Lines Ltd,Bangladesh,2023-09-11T00:00:00Z
34792,9717345,WESTERN MONACO,Nisshin Shipping Co Ltd (Nisshin Kaiun KK),Japan,Nisshin Shipping Co Ltd (Nisshin Kaiun KK),Japan,Philippines,Bulk,2016,,81112,BV,,,Nisshin Shipping Co Ltd (Nisshin Kaiun KK),Japan,2020-01-01T00:00:00Z
31511,9717682,ALCOR,Transocean Maritime Agencies S.A.M.,Monaco,Transocean Maritime Agencies S.A.M.,Monaco,Marshall Islands,Bulk,2015,,81600,DNV,,,Transocean Maritime Agencies S.A.M.,Monaco,2020-01-01T00:00:00Z
21570,9718038,CLARON,Delta Shipping Co. Ltd.,United Kingdom,Delta Shipping Co. Ltd.,United Kingdom,Liberia,Bulk,2016,,81600,LR,,,Delta Shipping Co. Ltd.,United Kingdom,2020-01-01T00:00:00Z
6191,9718076,MAERSK TOKYO,Maersk Tankers Singapore Pte Ltd,Singapore,Maersk Tankers Singapore Pte Ltd,Singapore,Singapore,Tank,2016,,51800,ABS,Synergy Denmark A/S,Denmark,Maersk Tankers Singapore Pte Ltd,Singapore,2022-04-01T00:00:00Z
15555,9718337,BAO LUCKY,HTM Shipping Co Ltd,China,HTM Shipping Co Ltd,China,Hong Kong,Bulk,2014,,63367,BV,,,HTM Shipping Co Ltd,China,2020-01-01T00:00:00Z
41326,9718698,GREEK SEAS,Paragon Shipping Inc.,Greece,Paragon Shipping Inc.,Greece,Liberia,Bulk,2015,,82043,LR,,,Paragon Shipping Inc.,Greece,2020-01-01T00:00:00Z
40212,9718765,NAKHAL SILVER,Oman Shipping Co. S.A.O.C. (OSC),Oman,Oman Shipping Co. S.A.O.C. (OSC),Oman,Marshall Islands,Tank,2016,,45923,ABS,Oman Ship Management Co SAOC,Oman,Oman Shipping Co. S.A.O.C. (OSC),Oman,2020-01-01T00:00:00Z
